timestamp,inbound_sms_count,inbound_vc_minutes,outbound_sms_count,outbound_vc_minutes,in_network_inbound_sms_count,out_of_network_inbound_sms_count,in_network_outbound_sms_count,out_of_network_outbound_sms_count,in_network_inbound_vc_minutes,out_of_network_inbound_vc_minutes,in_network_outbound_vc_minutes,out_of_network_outbound_vc_minutes
2013-07-03,0,1.75,0.0,3.05,0,0,0,0.0,0,1.75,0,3.05
2013-07-04,2,0.4166666666666667,3.0,3.1,0,2,3,0.0,0,0.4166666666666667,0,3.1
2013-07-05,0,1.0166666666666666,0.0,1.7666666666666666,0,0,0,0.0,0,1.0166666666666666,0,1.7666666666666666
2013-07-06,0,2.3,0.0,4.383333333333334,0,0,0,0.0,0,2.3,0,4.383333333333334
2013-07-07,0,4.216666666666667,0.0,5.116666666666666,0,0,0,0.0,1,3.216666666666667,1,4.116666666666666
2013-07-08,0,1.0166666666666666,1.0,5.016666666666667,0,0,0,1.0,1,0.016666666666666607,3,2.0166666666666666
2013-07-10,0,2.2666666666666666,0.0,0.7166666666666667,0,0,0,0.0,2,0.2666666666666666,0,0.7166666666666667
2013-07-11,0,0.26666666666666666,0.0,5.416666666666667,0,0,0,0.0,0,0.26666666666666666,0,5.416666666666667
2013-07-12,0,1.0166666666666666,1.0,7.733333333333333,0,0,0,1.0,0,1.0166666666666666,7,0.7333333333333334
2013-07-13,0,0.4,0.0,5.933333333333334,0,0,0,0.0,0,0.4,3,2.9333333333333336
2013-07-14,0,0.43333333333333335,0.0,0.0,0,0,0,0.0,0,0.43333333333333335,0,0.0
2013-07-15,0,6.583333333333333,0.0,3.05,0,0,0,0.0,5,1.583333333333333,1,2.05
2013-07-16,0,0.16666666666666666,0.0,1.7666666666666666,0,0,0,0.0,0,0.16666666666666666,0,1.7666666666666666
2013-07-17,0,3.933333333333333,0.0,4.9,0,0,0,0.0,3,0.9333333333333331,0,4.9
2013-07-18,2,4.35,2.0,7.916666666666667,2,0,1,1.0,4,0.34999999999999964,0,7.916666666666667
2013-07-19,0,0.9833333333333333,0.0,2.25,0,0,0,0.0,0,0.9833333333333333,0,2.25
2013-07-20,0,0.2833333333333333,0.0,8.25,0,0,0,0.0,0,0.2833333333333333,0,8.25
2013-07-21,0,0.0,0.0,0.3333333333333333,0,0,0,0.0,0,0.0,0,0.3333333333333333
2013-07-22,1,0.0,1.0,4.5,1,0,0,1.0,0,0.0,4,0.5
2013-07-23,0,1.65,0.0,0.0,0,0,0,0.0,1,0.6499999999999999,0,0.0
2013-07-24,1,2.7666666666666666,1.0,0.0,1,0,0,1.0,2,0.7666666666666666,0,0.0
2013-07-25,0,2.3666666666666667,0.0,3.8,0,0,0,0.0,1,1.3666666666666667,1,2.8
2013-07-26,0,2.8,0.0,1.8833333333333333,0,0,0,0.0,1,1.7999999999999998,1,0.8833333333333333
2013-07-27,0,0.0,0.0,0.21666666666666667,0,0,0,0.0,0,0.0,0,0.21666666666666667
2013-07-28,1,0.0,1.0,1.0,1,0,1,0.0,0,0.0,1,0.0
2013-07-29,0,1.05,0.0,7.833333333333333,0,0,0,0.0,1,0.050000000000000044,1,6.833333333333333
2013-07-30,0,0.0,0.0,1.85,0,0,0,0.0,0,0.0,1,0.8500000000000001
2013-07-31,0,0.0,0.0,4.633333333333334,0,0,0,0.0,0,0.0,4,0.6333333333333337
2013-08-01,0,0.6666666666666666,0.0,5.033333333333333,0,0,0,0.0,0,0.6666666666666666,2,3.033333333333333
2013-08-02,0,0.23333333333333334,1.0,0.0,0,0,0,1.0,0,0.23333333333333334,0,0.0
2013-08-03,0,1.9333333333333333,0.0,7.466666666666667,0,0,0,0.0,0,1.9333333333333333,7,0.4666666666666668
2013-08-04,0,0.0,0.0,1.2166666666666666,0,0,0,0.0,0,0.0,0,1.2166666666666666
2013-08-05,0,2.2333333333333334,0.0,8.183333333333334,0,0,0,0.0,1,1.2333333333333334,7,1.1833333333333336
2013-08-06,0,11.183333333333334,1.0,8.783333333333333,0,0,0,1.0,7,4.183333333333334,2,6.783333333333333
2013-08-07,0,1.9,0.0,2.05,0,0,0,0.0,1,0.8999999999999999,2,0.04999999999999982
2013-08-08,0,0.9666666666666667,1.0,1.6333333333333333,0,0,0,1.0,0,0.9666666666666667,0,1.6333333333333333
2013-08-09,0,10.866666666666667,0.0,6.6,0,0,0,0.0,10,0.8666666666666671,1,5.6
2013-08-10,1,1.0166666666666666,1.0,0.9666666666666667,0,1,1,0.0,1,0.016666666666666607,0,0.9666666666666667
2013-08-11,0,2.9166666666666665,0.0,0.8,0,0,0,0.0,2,0.9166666666666665,0,0.8
2013-08-12,4,0.0,4.0,6.983333333333333,1,3,1,3.0,0,0.0,6,0.9833333333333334
2013-08-13,2,1.1,3.0,1.75,2,0,3,0.0,0,1.1,0,1.75
2013-08-14,1,4.6,1.0,5.583333333333333,0,1,0,1.0,1,3.5999999999999996,4,1.583333333333333
2013-08-15,0,0.6,4.0,2.2333333333333334,0,0,3,1.0,0,0.6,0,2.2333333333333334
2013-08-16,3,0.7666666666666667,3.0,6.083333333333333,0,3,1,2.0,0,0.7666666666666667,4,2.083333333333333
2013-08-17,0,0.9833333333333333,0.0,4.516666666666667,0,0,0,0.0,0,0.9833333333333333,3,1.5166666666666666
2013-08-18,0,2.1333333333333333,0.0,0.0,0,0,0,0.0,1,1.1333333333333333,0,0.0
2013-08-19,0,0.0,0.0,3.566666666666667,0,0,0,0.0,0,0.0,1,2.566666666666667
2013-08-20,0,1.1,1.0,3.5,0,0,1,0.0,0,1.1,0,3.5
2013-08-21,1,0.75,1.0,0.6833333333333333,0,1,1,0.0,0,0.75,0,0.6833333333333333
2013-08-22,0,0.2833333333333333,0.0,5.15,0,0,0,0.0,0,0.2833333333333333,1,4.15
2013-08-23,0,6.833333333333333,0.0,7.2,0,0,0,0.0,0,6.833333333333333,7,0.20000000000000018
2013-08-24,1,1.4,2.0,12.466666666666667,1,0,2,0.0,0,1.4,11,1.4666666666666668
2013-08-25,0,2.15,2.0,2.316666666666667,0,0,2,0.0,1,1.15,1,1.3166666666666669
2013-08-26,0,0.4166666666666667,0.0,4.9,0,0,0,0.0,0,0.4166666666666667,4,0.9000000000000004
2013-08-27,0,2.283333333333333,0.0,0.8166666666666667,0,0,0,0.0,2,0.2833333333333332,0,0.8166666666666667
2013-08-28,1,0.4,1.0,0.0,1,0,0,1.0,0,0.4,0,0.0
2013-08-29,1,3.7,1.0,2.8833333333333333,0,1,1,0.0,1,2.7,1,1.8833333333333333
2013-08-30,0,0.0,0.0,2.316666666666667,0,0,0,0.0,0,0.0,0,2.316666666666667
2013-08-31,2,4.283333333333333,5.0,2.1333333333333333,0,2,2,3.0,1,3.283333333333333,1,1.1333333333333333
2013-09-01,0,2.45,0.0,1.65,0,0,0,0.0,2,0.4500000000000002,1,0.6499999999999999
2013-09-02,2,0.31666666666666665,3.0,5.616666666666666,2,0,2,1.0,0,0.31666666666666665,0,5.616666666666666
2013-09-03,1,1.7,2.0,6.9,1,0,2,0.0,1,0.7,5,1.9000000000000004
2013-09-04,0,2.3666666666666667,0.0,0.38333333333333336,0,0,0,0.0,0,2.3666666666666667,0,0.38333333333333336
2013-09-05,1,0.0,1.0,1.6333333333333333,0,1,0,1.0,0,0.0,1,0.6333333333333333
2013-09-06,0,0.08333333333333333,1.0,4.633333333333334,0,0,0,1.0,0,0.08333333333333333,1,3.6333333333333337
2013-09-07,0,0.0,1.0,9.066666666666666,0,0,1,0.0,0,0.0,2,7.066666666666666
2013-09-08,1,1.7666666666666666,2.0,0.2,0,1,1,1.0,1,0.7666666666666666,0,0.2
2013-09-09,0,0.8,0.0,4.733333333333333,0,0,0,0.0,0,0.8,3,1.7333333333333334
2013-09-10,0,2.9166666666666665,2.0,7.883333333333334,0,0,0,2.0,1,1.9166666666666665,3,4.883333333333334
2013-09-11,3,1.9666666666666666,3.0,4.166666666666667,0,3,3,0.0,1,0.9666666666666666,4,0.16666666666666696
2013-09-12,3,3.316666666666667,3.0,4.816666666666666,3,0,2,1.0,1,2.316666666666667,3,1.8166666666666664
2013-09-13,1,2.933333333333333,1.0,5.1,0,1,0,1.0,2,0.9333333333333331,5,0.09999999999999964
2013-09-14,4,0.3333333333333333,4.0,6.4,1,3,0,4.0,0,0.3333333333333333,5,1.4000000000000004
2013-09-15,0,3.65,0.0,0.0,0,0,0,0.0,0,3.65,0,0.0
2013-09-16,0,0.0,1.0,0.35,0,0,0,1.0,0,0.0,0,0.35
2013-09-17,0,1.05,0.0,0.31666666666666665,0,0,0,0.0,1,0.050000000000000044,0,0.31666666666666665
